Post_ID,Pseudo_Caption,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Viral
Post_574,youtube Video about #Gaming posted in Canada,2022-10-10,YOUTUBE,#Gaming,Video,  Canada  ,3620989.0,185166.0,73884.0,46247.0,0
Post_2708,tiktok Live Stream about #Education posted in India,2023-11-07,Tiktok,#Education,Live Stream,INDIA,1876306.0,149927.0,65747.0,27923.0,1
Post_3342,youtube Shorts about #Fashion posted in USA,2022-07-22,Youtube,#Fashion,Shorts,USA,3494450.0,476260.0,92683.0,40176.0,0
Post_3340,twitter Tweet about #Gaming posted in Japan,2023-05-21,twitter,#Gaming,Tweet,Japan,2386028.0,156812.0,98830.0,38728.0,1
Post_3788,instagram Live Stream about #Comedy posted in Canada,2022-07-10,  instagram  ,#Comedy,Live Stream,  Canada  ,1831366.0,219055.0,32009.0,33612.0,1
Post_873,youtube Post about #Comedy posted in Germany,invalid_date,youtube,#misc,Post,GERMANY,,,,,1
Post_1922,twitter Post about #Tech posted in Japan,2023-11-27,Twitter,#Tech,Post,JAPAN,1022617.0,263255.0,32265.0,49499.0,1
Post_2155,youtube Tweet about #Gaming posted in Canada,2022-03-31,youtube,#Gaming,Tweet,canada,2930604.0,72137.0,89326.0,11770.0,0
Post_3330,tiktok Shorts about #Tech posted in India,2023-05-07,tiktok,#Tech,Shorts,  India  ,1188268.0,460471.0,79903.0,19165.0,1
Post_2164,instagram Tweet about #Gaming posted in India,2023-04-28,Instagram,#Gaming,Tweet,INDIA,-628363.0 Views,-74367.0 Likes,-94257.0 Shares,-13383.0 Comments,1
Post_2232,youtube Video about #Fitness posted in Brazil,2022-02-02,youtube,#Fitness,Video,brazil,-3371495.0 Views,-283970.0 Likes,-78225.0 Shares,-32830.0 Comments,0
Post_2981,youtube Post about #Tech posted in Australia,2023-07-12,  youtube  ,#Tech,Post,  Australia  ,1074531.0,215231.0,90702.0,6476.0,1
Post_311,tiktok Shorts about #Comedy posted in Brazil,2022-05-16,tiktok,#Comedy,Shorts,brazil,-1423060.0 Views,-44643.0 Likes,-79715.0 Shares,-20950.0 Comments,0
Post_924,instagram Video about #Dance posted in India,2023-04-26,Instagram,#Dance,Video,india,247234.0,296015.0,55319.0,39566.0,1
